"gID";"T";"x";"y";"itemInCraneID"
1;13137.0;245;95;null
0;13147.0;225;95;null
1;13147.0;245;95;null
0;13293.0;955;15;null
1;13293.0;975;15;null
0;13303.0;955;15;null
1;13303.0;975;15;752
0;13311.0;995;5;null
1;13311.0;1015;5;752
0;13321.0;995;5;null
1;13321.0;1015;5;null
0;13330.0;975;95;null
1;13330.0;995;95;null
1;13330.0;995;95;null
0;13340.0;975;95;null
1;13340.0;995;95;1245
0;13349.0;995;5;null
1;13349.0;1015;5;1245
0;13359.0;995;5;null
1;13359.0;1015;5;null
0;13453.0;525;75;null
1;13453.0;545;75;null
1;13453.0;545;75;null
0;13463.0;525;75;null
1;13463.0;545;75;2623
0;13557.0;995;5;null
1;13557.0;1015;5;2623
0;13567.0;995;5;null
1;13567.0;1015;5;null
0;13689.0;385;15;null
1;13689.0;405;15;null
0;13699.0;385;15;2436
1;13699.0;405;15;null
0;13743.0;165;65;2436
1;13743.0;185;65;null
0;13753.0;165;65;null
1;13753.0;185;65;null
0;13793.0;365;15;null
1;13793.0;385;15;null
0;13803.0;365;15;null
1;13803.0;385;15;1415
0;13819.0;285;35;null
1;13819.0;305;35;1415
0;13829.0;285;35;null
1;13829.0;305;35;null
0;13845.0;365;15;null
1;13845.0;385;15;null
0;13855.0;365;15;null
1;13855.0;385;15;1226
0;13981.0;995;5;null
1;13981.0;1015;5;1226
0;13991.0;995;5;null
1;13991.0;1015;5;null
0;14041.0;745;65;null
1;14041.0;765;65;null
1;14041.0;765;65;null
0;14051.0;745;65;null
1;14051.0;765;65;2647
0;14101.0;995;5;null
1;14101.0;1015;5;2647
0;14111.0;995;5;null
1;14111.0;1015;5;null
0;14123.0;935;45;null
1;14123.0;955;45;null
1;14123.0;955;45;null
0;14133.0;935;45;null
1;14133.0;955;45;1481
0;14145.0;995;5;null
1;14145.0;1015;5;1481
0;14155.0;995;5;null
1;14155.0;1015;5;null
0;14253.0;505;45;null
1;14253.0;525;45;null
0;14263.0;505;45;1868
1;14263.0;525;45;null
0;14363.0;5;5;1868
1;14363.0;25;5;null
0;14373.0;5;5;null
1;14373.0;25;5;null
0;14469.0;485;45;null
1;14469.0;505;45;null
0;14479.0;485;45;null
1;14479.0;505;45;568
0;14581.0;995;5;null
1;14581.0;1015;5;568
0;14591.0;995;5;null
1;14591.0;1015;5;null
0;14689.0;505;55;null
1;14689.0;525;55;null
0;14699.0;505;55;1865
1;14699.0;525;55;null
0;14777.0;895;85;1865
1;14777.0;915;85;null
0;14787.0;895;85;null
1;14787.0;915;85;null
0;14869.0;485;55;null
1;14869.0;505;55;null
0;14879.0;485;55;null
1;14879.0;505;55;952
0;14981.0;995;5;null
1;14981.0;1015;5;952
0;14991.0;995;5;null
1;14991.0;1015;5;null
0;15119.0;355;85;null
1;15119.0;375;85;null
1;15119.0;375;85;null
0;15129.0;355;85;null
1;15129.0;375;85;2620
0;15257.0;995;5;null
1;15257.0;1015;5;2620
0;15267.0;995;5;null
1;15267.0;1015;5;null
0;15375.0;455;25;null
1;15375.0;475;25;null
1;15375.0;475;25;null
0;15385.0;455;25;null
1;15385.0;475;25;2622
0;15493.0;995;5;null
1;15493.0;1015;5;2622
0;15503.0;995;5;null
1;15503.0;1015;5;null
0;15669.0;165;55;null
1;15669.0;185;55;null
1;15669.0;185;55;null
0;15679.0;165;55;null
1;15679.0;185;55;2611
0;15845.0;995;5;null
1;15845.0;1015;5;2611
0;15855.0;995;5;null
1;15855.0;1015;5;null
0;15969.0;425;25;null
1;15969.0;445;25;null
1;15969.0;445;25;null
0;15979.0;425;25;null
1;15979.0;445;25;2612
0;16093.0;995;5;null
1;16093.0;1015;5;2612
0;16103.0;995;5;null
1;16103.0;1015;5;null
0;16199.0;515;55;null
1;16199.0;535;55;null
0;16209.0;515;55;2514
1;16209.0;535;55;null
0;16223.0;445;25;2514
1;16223.0;465;25;null
0;16233.0;445;25;null
1;16233.0;465;25;null
0;16243.0;495;55;null
1;16243.0;515;55;null
0;16253.0;495;55;null
1;16253.0;515;55;2376
0;16353.0;995;5;null
1;16353.0;1015;5;2376
0;16363.0;995;5;null
1;16363.0;1015;5;null
0;16441.0;605;25;null
1;16441.0;625;25;null
1;16441.0;625;25;null
0;16451.0;605;25;null
1;16451.0;625;25;2632
0;16529.0;995;5;null
1;16529.0;1015;5;2632
0;16539.0;995;5;null
1;16539.0;1015;5;null
0;16553.0;925;35;null
1;16553.0;945;35;null
0;16563.0;925;35;1443
1;16563.0;945;35;null
0;16639.0;545;75;1443
1;16639.0;565;75;null
0;16649.0;545;75;null
1;16649.0;565;75;null
0;16721.0;905;35;null
1;16721.0;925;35;null
0;16731.0;905;35;null
1;16731.0;925;35;323
0;16749.0;995;5;null
1;16749.0;1015;5;323
0;16759.0;995;5;null
1;16759.0;1015;5;null
0;16827.0;655;45;null
1;16827.0;675;45;null
1;16827.0;675;45;null
0;16837.0;655;45;null
1;16837.0;675;45;1116
